iter	RMSE
0	1.397567375
1	1.35591949
2	1.314849574
3	1.269913721
4	1.227915898
5	1.195206212
6	1.153574522
7	1.128194519
8	1.099547739
9	1.068916276
10	1.038429767
11	1.011413999
12	0.9922178238
13	0.9646656
14	0.9467592205
15	0.9367498645
16	0.921077068
17	0.9043043051
18	0.8887913906
19	0.8733630638
20	0.8561126409
21	0.8431103967
22	0.8268802946
23	0.8147479828
24	0.7961390697
25	0.7797467352
26	0.765254102
27	0.7555999073
28	0.7483256869
29	0.73636449
30	0.7213815744
31	0.7109947154
32	0.6967742962
33	0.6867149126
34	0.6752636898
35	0.6633246252
36	0.648109256
37	0.6391049505
38	0.6295002124
39	0.6165313401
40	0.6045616513
41	0.5970732947
42	0.5861879095
43	0.5754630397
44	0.5626394419
45	0.5508205996
46	0.5427655824
47	0.5328851104
48	0.5210026292
49	0.5091127354
